# 开心输入法 8105 个常用单字词库
# 频率顺序：wordfreq 3.1.1 中文词频；仅保留拼音引擎支持的汉字。
# 权重：按词频名次线性映射到 10000..1，严格降序。
# 格式：汉字<TAB>权重；拼音由引擎自动生成，以保留多音字全部读音。
砍	8727
祭	8726
胸	8725
陆	8723
雪	8722
乘	8721
什	8720
伪	8719
势	8717
扯	8716
梁	8715
番	8714
盐	8712
穷	8711
缺	8710
莱	8709
免	8707
孙	8706
审	8705
帝	8704
挑	8703
挡	8701
散	8700
春	8699
普	8698
汇	8696
窝	8695
籍	8694
粉	8693
续	8691
肯	8690
艘	8689
露	8688
兴	8686
吴	8685
圆	8684
帐	8683
拼	8682
洛	8680
习	8679
卫	8678
哼	8677
噢	8675
境	8674
嫁	8673
密	8672
炒	8670
父	8669
脑	8668
范	8667
踩	8665
迟	8664
遇	8663
严	8662
亩	8661
佛	8659
劝	8658
劲	8657
哟	8656
委	8654
娘	8653
折	8652
护	8651
撑	8649
撒	8648
朱	8647
校	8646
熊	8645
狂	8643
藉	8642
订	8641
诸	8640
财	8638
鞋	8637
骚	8636
君	8635
咋	8633
川	8632
庙	8631
捡	8630
牙	8628
终	8627
绕	8626
蒙	8625
觉	8624
遂	8622
闭	8621
颗	8620
亮	8619
似	8617
偏	8616
剂	8615
博	8614
吾	8612
宁	8611
尾	8610
态	8609
粮	8608
索	8606
臭	8605
透	8604
郭	8603
顺	8601
冰	8600
净	8599
墓	8598
撸	8596
施	8595
旅	8594
暖	8593
曼	8591
梅	8590
榜	8589
炮	8588
禁	8587
议	8585
险	8584
乌	8583
乔	8582
围	8580
娜	8579
森	8578
灭	8577
爹	8575
蔡	8574
薄	8573
雾	8572
丹	8570
务	8569
嗨	8568
困	8567
夹	8566
幅	8564
扣	8563
承	8562
挤	8561
测	8559
潮	8558
甜	8557
细	8556
聊	8554
贝	8553
醉	8552
阳	8551
亏	8550
佳	8548
埋	8547
尤	8546
彩	8545
抹	8543
拆	8542
撤	8541
枚	8540
洲	8538
消	8537
烤	8536
症	8535
租	8533
艺	8532
谋	8531
跪	8530
酸	8529
钻	8527
雅	8526
兹	8525
喷	8524
止	8522
沿	8521
烦	8520
瓶	8519
碳	8517
积	8516
署	8515
蛮	8514
趁	8512
宋	8511
宗	8510
惨	8509
沉	8508
济	8506
湿	8505
煤	8504
瞎	8503
粗	8501
肥	8500
薇	8499
规	8498
访	8496
钢	8495
锡	8494
丑	8493
伯	8492
卒	8490
喜	8489
己	8488
曹	8487
楚	8485
温	8484
灵	8483
盯	8482
私	8480
缘	8479
胖	8478
闪	8477
丽	8475
厚	8474
容	8473
峰	8472
摔	8471
旗	8469
泰	8468
罚	8467
羊	8466
菲	8464
铺	8463
颁	8462
互	8461
判	8459
威	8458
弗	8457
扑	8456
探	8455
暂	8453
杜	8452
狠	8451
献	8450
礼	8448
轰	8447
鸭	8446
侧	8445
功	8443
堡	8442
壳	8441
巨	8440
帅	8438
庄	8437
扶	8436
拨	8435
挣	8434
播	8432
秘	8431
跌	8430
邀	8429
郑	8427
键	8426
充	8425
击	8424
啪	8422
堆	8421
夺	8420
导	8419
思	8417
